state_name,district_name,location,latitude,longitude
Gujarat,Surat,"Surat, Gujarat, India",21.2094892,72.8317058
Gujarat,Surendranagar,"Surendranagar, Gujarat, India",22.8251395,71.6209736
Gujarat,Tapi,"Tapi, Gujarat, India",21.1916567,73.5560631
Gujarat,Vadodara,"Vadodara, Gujarat, India",22.2973142,73.1942567
Gujarat,Valsad,"Valsad, Gujarat, India",20.4321957,73.1409893
Haryana,Ambala,"Ambala, Haryana, India",30.3843674,76.770421
Haryana,Bhiwani,"Bhiwani, Haryana, India",28.7931703,76.1391283
Haryana,Fatehabad,"Fatehabad, Haryana, India",29.5359209,75.5752901
Haryana,Gurgaon,"Gurgaon, Haryana, India",28.4646148,77.0299194
Haryana,Hisar,"Hisar, Haryana, India",29.2396596,75.8174505
Haryana,Jhajjar,"Jhajjar, Haryana, India",28.5964461,76.6505366
Haryana,Jind,"Jind, Haryana, India",29.3152073,76.314082
Haryana,Kaithal,"Kaithal, Haryana, India",29.7996588,76.3989903
Haryana,Karnal,"Karnal, Haryana, India",29.7255766,76.9106924
Haryana,Kurukshetra,"Kurukshetra, Haryana, India",29.9693747,76.8482787
Haryana,Mahendragarh,"Mahendragarh, Haryana, India",28.132697,76.1697448
Haryana,Palwal,"Palwal, Haryana, India",28.0599426,77.3223422
Haryana,Panchkula,"Panchkula, Haryana, India",30.6975401,76.8551066
Haryana,Panipat,"Panipat, Haryana, India",29.3912753,76.9771675
Haryana,Rewari,"Rewari, Haryana, India",28.1956468,76.6165179
Haryana,Rohtak,"Rohtak, Haryana, India",28.9010899,76.5801935
Haryana,Sirsa,"Sirsa, Haryana, India",29.6063041,74.9036568
Haryana,Sonipat,"Sonipat, Haryana, India",28.9953758,77.0233627
Haryana,Yamunanagar,"Yamunanagar, Haryana, India",30.1231349,77.286329
Haryana,Faridabad,"Faridabad, Haryana, India",28.4031478,77.3105561
Haryana,Mewat,"Mewat, Haryana, India",27.9935177,77.0419634
Himachal Pradesh,Kangra,"Kangra, Himachal Pradesh, India",32.0768665,76.2985872
Himachal Pradesh,Shimla,"Shimla, Himachal Pradesh, India",31.1041526,77.1709729
Himachal Pradesh,Sirmaur,"Sirmaur, Himachal Pradesh, India",30.6991321,77.4465304
Himachal Pradesh,Hamirpur,"Hamirpur, Himachal Pradesh, India",31.6539865,76.5403633
Himachal Pradesh,Mandi,"Mandi, Himachal Pradesh, India",31.6516617,77.0092542
Himachal Pradesh,Bilaspur,"Bilaspur, Himachal Pradesh, India",31.3380959,76.7611631
Himachal Pradesh,Chamba,"Chamba, Himachal Pradesh, India",32.6923316,76.1631552
Himachal Pradesh,Kullu,"Kullu, Himachal Pradesh, India",31.9578974,77.1089232
Himachal Pradesh,Solan,"Solan, Himachal Pradesh, India",30.9077569,77.1023645
Himachal Pradesh,Una,"Una, Himachal Pradesh, India",31.5834642,76.2351452
Jammu And Kashmir,Samba,"Samba, Jammu And Kashmir, India",32.5759118,75.1203446
Jammu And Kashmir,Jammu,"Jammu, Jammu And Kashmir, India",32.7185614,74.8580917
Jammu And Kashmir,Kathua,"Kathua, Jammu And Kashmir, India",32.3765524,75.5243044
Jammu And Kashmir,Rajauri,"Rajauri, Jammu And Kashmir, India",33.3772495,74.3132332
Jammu And Kashmir,Reasi,"Reasi, Jammu And Kashmir, India",33.2059908,74.8626794
Jammu And Kashmir,Udhampur,"Udhampur, Jammu And Kashmir, India",32.911964,75.3265845
Jammu And Kashmir,Doda,"Doda, Jammu And Kashmir, India",33.13261,75.5890079
Jammu And Kashmir,Kishtwar,"Kishtwar, Jammu And Kashmir, India",33.3107908,75.7694213
Jammu And Kashmir,Bandipora,"Bandipora, Jammu And Kashmir, India",34.4232433,74.635965
Jammu And Kashmir,Anantnag,"Anantnag, Jammu And Kashmir, India",33.74611,75.1854475
Jammu And Kashmir,Badgam,"Badgam, Jammu And Kashmir, India",34.0385248,74.7360163
Jammu And Kashmir,Kulgam,"Kulgam, Jammu And Kashmir, India",33.6446899,75.0188432
Jammu And Kashmir,Pulwama,"Pulwama, Jammu And Kashmir, India",33.9490472,75.0418335
Jammu And Kashmir,Srinagar,"Srinagar, Jammu And Kashmir, India",34.0747444,74.8204443
Jammu And Kashmir,Baramulla,"Baramulla, Jammu And Kashmir, India",34.2086903,74.343498
Jharkhand,Bokaro,"Bokaro, Jharkhand, India",23.6991279,85.9910689
Jharkhand,Chatra,"Chatra, Jharkhand, India",24.1062316,84.8623379
Jharkhand,Deoghar,"Deoghar, Jharkhand, India",24.4898318,86.6990182
Jharkhand,Dhanbad,"Dhanbad, Jharkhand, India",23.7952809,86.4309638
Jharkhand,Dumka,"Dumka, Jharkhand, India",24.2677937,87.2485495
Jharkhand,Garhwa,"Garhwa, Jharkhand, India",24.053577,83.6526818
Jharkhand,Giridih,"Giridih, Jharkhand, India",24.3314546,86.1548117
Jharkhand,Godda,"Godda, Jharkhand, India",24.8645886,87.2984838
Jharkhand,Gumla,"Gumla, Jharkhand, India",23.1603759,84.4599565
Jharkhand,Hazaribagh,"Hazaribagh, Jharkhand, India",24.0866962,85.4912231
Jharkhand,Jamtara,"Jamtara, Jharkhand, India",23.9801639,86.9243637
Jharkhand,Khunti,"Khunti, Jharkhand, India",22.9281801,85.2814475
Jharkhand,Koderma,"Koderma, Jharkhand, India",24.4931239,85.5560811
Jharkhand,Latehar,"Latehar, Jharkhand, India",23.6880057,84.4969551
Jharkhand,Lohardaga,"Lohardaga, Jharkhand, India",23.4770044,84.6986684
Jharkhand,Pakur,"Pakur, Jharkhand, India",24.5325908,87.593232
Jharkhand,Palamu,"Palamu, Jharkhand, India",24.2212983,84.1725565
Jharkhand,Ramgarh,"Ramgarh, Jharkhand, India",23.693479,85.5215989
Jharkhand,Ranchi,"Ranchi, Jharkhand, India",23.3700501,85.3250387
Jharkhand,Sahebganj,"Sahebganj, Jharkhand, India",25.0320437,87.691764
Jharkhand,Saraikela Kharsawan,"Saraikela Kharsawan, Jharkhand, India",22.7464225,85.9168929
Jharkhand,Simdega,"Simdega, Jharkhand, India",22.5904573,84.5464805
Jharkhand,West Singhbhum,"West Singhbhum, Jharkhand, India",22.4282857,85.5317483
Karnataka,Ballari,"Ballari, Karnataka, India",15.3483657,76.8055278
Karnataka,Bangalore Rural,"Bangalore Rural, Karnataka, India",13.0010872,77.3361225
Karnataka,Belagavi,"Belagavi, Karnataka, India",16.1587846,74.888862
Karnataka,Bengaluru Urban,"Bengaluru Urban, Karnataka, India",12.9461554,77.5503844
Karnataka,Chamarajanagara,"Chamarajanagara, Karnataka, India",11.9238058,76.9393558
Karnataka,Chikkaballapura,"Chikkaballapura, Karnataka, India",13.5897941,77.778793
Karnataka,Chikkamagaluru,"Chikkamagaluru, Karnataka, India",13.4058699,75.638758
Karnataka,Chitradurga,"Chitradurga, Karnataka, India",14.3049174,76.5297234
Karnataka,Dakshina Kannada,"Dakshina Kannada, Karnataka, India",12.8226433,75.2265036
Karnataka,Davangere,"Davangere, Karnataka, India",14.4661266,75.9206361
Karnataka,Dharwad,"Dharwad, Karnataka, India",15.3707296,75.1332867
Karnataka,Gadag,"Gadag, Karnataka, India",15.416692,75.6815801
Karnataka,Hassan,"Hassan, Karnataka, India",13.0301852,76.1744968
Karnataka,Haveri,"Haveri, Karnataka, India",14.7180267,75.3656423
Karnataka,Kodagu,"Kodagu, Karnataka, India",12.3827332,75.6640715
Karnataka,Mandya,"Mandya, Karnataka, India",12.6368939,76.7275477
Karnataka,Mysuru,"Mysuru, Karnataka, India",12.3041464,76.6529521
Karnataka,Ramanagara,"Ramanagara, Karnataka, India",12.720006,77.3184199
Karnataka,Shivamogga,"Shivamogga, Karnataka, India",13.9326093,75.574978
Karnataka,Tumakuru,"Tumakuru, Karnataka, India",13.4192512,76.8810004
Karnataka,Udupi,"Udupi, Karnataka, India",13.5269784,74.8731879
Karnataka,Uttara Kannada,"Uttara Kannada, Karnataka, India",14.7253795,74.6403389
Karnataka,Bagalkote,"Bagalkote, Karnataka, India",16.2903648,75.5915819
Karnataka,Bidar,"Bidar, Karnataka, India",18.0207296,77.2487204
Karnataka,Kalaburagi,"Kalaburagi, Karnataka, India",17.2408957,76.7697439
Karnataka,Kolar,"Kolar, Karnataka, India",13.1805066,78.2669329
Karnataka,Koppal,"Koppal, Karnataka, India",15.5748238,76.3118494
Karnataka,Raichur,"Raichur, Karnataka, India",16.0547194,76.9003647
Karnataka,Vijayapura,"Vijayapura, Karnataka, India",16.814415,75.8933856
Karnataka,Yadagiri,"Yadagiri, Karnataka, India",16.7745024,77.1270379
Kerala,Alappuzha,"Alappuzha, Kerala, India",9.5006651,76.4124143
Kerala,Ernakulam,"Ernakulam, Kerala, India",9.9837257,76.2740001
